State,Year,Median_Income_All,Median_Income_White,Median_Income_Black,Median_Income_AIAN,Median_Income_Asian,Median_Income_NHPI,Median_Income_Other,Median_Income_Two_Races,Median_Income_White_Non_Hispanic,Median_Income_Hispanic,Gini_Index,Median_Family_Income,Median_Earnings_All,Median_Earnings_Male,Median_Earnings_Female,Total_Population_Education,High_School_Graduate,Some_College_No_Degree,Associates_Degree,Bachelors_Degree,Graduate_Degree
New York,2022,79557,89408,57898,63208,89947,45507,56210,73557,90104,60468,0.5208,99066,47414,52991,41436,13892241,2843637,570242,704512,3097409,254705
North Carolina,2022,67481,75197,50059,43675,108332,100303,53762,63861,75565,57348,0.4768,83448,40679,45506,35441,7372120,1536443,298449,479544,1678483,121542
North Dakota,2022,71970,76610,43882,38438,61776,,57893,61885,76600,68700,0.4678,97853,42807,51152,36162,514786,111180,20662,33740,115034,5939
Ohio,2022,65720,70749,42072,38367,90445,51435,56322,56864,70905,55580,0.4691,86001,41140,48427,34416,8130929,2293879,303841,574036,1578535,104386
Oklahoma,2022,59673,63444,41135,53261,65557,51616,52612,53626,63747,52856,0.4743,75476,36988,42328,31509,2661141,675343,138202,209763,495467,32026
Oregon,2022,75657,76846,58438,57280,104214,69480,65148,68947,77227,65081,0.4679,93384,41996,48520,36275,3043930,549907,140341,243718,675825,55267
Pennsylvania,2022,71798,76765,46564,60459,98296,60566,50032,61450,76940,55478,0.4778,93029,43371,51284,36594,9151744,2669893,349749,509440,1899494,164782
Rhode Island,2022,81854,86507,80953,76603,97307,-666666666,53379,62970,86640,56119,0.4640,105989,47266,53320,40839,778191,161723,30496,50748,185883,15933
South Carolina,2022,64115,73516,44187,52847,87807,54074,54421,61314,73731,58486,0.4757,79886,38153,44319,32319,3664922,852142,163600,245183,725469,54737
South Dakota,2022,69728,72751,65453,31084,63398,-666666666,67224,54283,72908,54873,0.4487,89573,40978,46891,35540,605735,147097,30074,38483,131481,8078
Tennessee,2022,65254,69826,49531,55846,94814,51300,54475,57741,69743,58385,0.4694,80910,40190,45868,33514,4868110,1259999,263488,331376,958365,71956
Texas,2022,72284,82032,55759,65765,107673,63735,57114,62748,86229,60504,0.4796,86267,41277,48299,34035,19597383,3852041,881189,1297863,4242031,264060
Utah,2022,89168,92391,65096,62277,91549,81435,69278,78966,93223,73413,0.4264,102177,40959,51699,31050,2042912,390984,58474,154959,505215,36185
Vermont,2022,73991,73591,78611,74426,70809,-666666666,68766,81819,73560,90490,0.4452,96345,42147,46185,39356,467643,106758,15024,22627,114633,11346
Virginia,2022,85873,91924,60526,81872,126277,114660,74720,90841,92063,84525,0.4755,107101,48178,55333,40560,5978782,1203973,227651,360707,1409942,128015
Washington,2022,91306,91916,68202,71255,125692,81623,69545,84303,92277,74770,0.4742,109192,51640,60621,42221,5470209,963272,213152,398743,1302707,102857
West Virginia,2022,54329,55407,32322,32252,71811,-666666666,50670,44435,55460,62416,0.4804,70318,37256,44476,31364,1262566,400450,83716,81446,188793,14957
Wisconsin,2022,70996,74405,38730,54790,90784,,60130,60490,74459,60422,0.4510,91700,42873,50488,36604,4088500,1066855,142280,270280,885548,56389
Wyoming,2022,70042,70353,,39692,84787,33865,66556,73866,70106,73267,0.4437,86552,39954,49839,32207,399796,85963,23129,31521,71812,6288
Unknown,2022,24112,23850,22057,34526,28897,-666666666,23094,25310,61464,23955,0.5477,29544,19541,19760,19272,2404438,609112,62550,38018,503506,33185
National,2022,74755,79933,51374,58082,106954,72411,63290,69704,80404,65882,0.4863,92148,42542,50232,36608,229707137,50800686,9107976,14888891,49641033,3843037
